x,y,z
0.25,1.14E+12,2.21E+15
0.25,2.24E+12,2.12E+15
0.25,3.30E+12,2.12E+15
0.25,4.32E+12,2.05E+15
0.25,5.31E+12,1.98E+15
0.25,6.26E+12,1.91E+15
0.25,7.19E+12,1.84E+15
0.25,8.10E+12,1.78E+15
0.25,8.97E+12,1.72E+15
0.25,9.81E+12,1.66E+15
0.25,1.06E+13,1.60E+15
0.25,1.14E+13,1.55E+15
0.25,1.22E+13,1.49E+15
0.25,1.29E+13,1.44E+15
0.25,1.36E+13,1.40E+15
0.25,1.43E+13,1.35E+15
0.25,1.50E+13,1.30E+15
0.25,1.56E+13,1.26E+15
0.25,1.62E+13,1.22E+15
0.25,1.68E+13,1.18E+15
0.25,1.74E+13,1.14E+15
0.25,1.80E+13,1.10E+15
0.25,1.85E+13,1.07E+15
0.25,1.90E+13,1.03E+15
0.25,1.95E+13,1.00E+15
0.25,2.00E+13,9.68E+14
0.25,2.05E+13,9.38E+14
0.25,2.10E+13,9.08E+14
0.25,2.14E+13,8.79E+14
0.25,2.19E+13,8.52E+14
0.25,2.23E+13,8.25E+14
0.25,2.27E+13,7.99E+14
0.25,2.31E+13,7.74E+14
0.25,2.35E+13,7.50E+14
0.25,2.38E+13,7.27E+14
0.25,2.42E+13,7.05E+14
0.25,2.45E+13,6.83E+14
0.25,2.49E+13,6.62E+14
0.25,2.52E+13,6.42E+14
0.25,2.55E+13,6.23E+14
0.25,2.58E+13,6.04E+14
0.25,2.61E+13,5.86E+14
0.25,2.64E+13,5.68E+14
0.25,2.67E+13,5.51E+14
0.25,2.70E+13,5.35E+14
0.25,2.72E+13,5.19E+14
0.25,2.75E+13,5.03E+14
0.25,2.77E+13,4.88E+14
0.25,2.80E+13,4.74E+14
0.25,2.82E+13,4.60E+14
0.25,2.84E+13,4.46E+14
0.25,2.86E+13,4.33E+14
0.25,2.89E+13,4.21E+14
0.25,2.91E+13,4.08E+14
0.25,2.93E+13,3.96E+14
0.25,2.95E+13,3.85E+14
0.25,2.96E+13,3.74E+14
0.25,2.98E+13,3.63E+14
0.25,3.00E+13,3.52E+14
0.25,3.02E+13,3.42E+14
0.25,3.04E+13,3.32E+14
0.25,3.05E+13,3.23E+14
0.25,3.07E+13,3.14E+14
0.25,3.08E+13,3.05E+14
0.25,3.10E+13,2.96E+14
0.25,3.11E+13,2.88E+14
0.25,3.13E+13,2.79E+14
0.25,3.14E+13,2.71E+14
0.25,3.15E+13,2.64E+14
0.25,3.17E+13,2.56E+14
0.25,3.18E+13,2.49E+14
0.25,3.19E+13,2.42E+14
0.25,3.20E+13,2.35E+14
0.25,3.22E+13,2.29E+14
0.25,3.23E+13,2.22E+14
0.25,3.24E+13,2.16E+14
0.25,3.25E+13,2.10E+14
0.25,3.26E+13,2.04E+14
0.25,3.27E+13,1.98E+14
0.25,3.28E+13,1.93E+14
0.25,3.29E+13,1.87E+14
0.25,3.30E+13,1.82E+14
0.25,3.31E+13,1.77E+14
0.25,3.31E+13,1.72E+14
0.25,3.32E+13,1.68E+14
0.25,3.33E+13,1.63E+14
0.25,3.34E+13,1.58E+14
0.25,3.35E+13,1.54E+14
0.25,3.36E+13,1.50E+14
0.25,3.36E+13,1.46E+14
0.25,3.37E+13,1.42E+14
0.25,3.38E+13,1.38E+14
0.25,3.38E+13,1.34E+14
0.25,3.39E+13,1.30E+14
0.25,3.40E+13,1.27E+14
0.25,3.40E+13,1.23E+14
0.25,3.41E+13,1.20E+14
0.25,3.41E+13,1.17E+14
0.25,3.42E+13,1.14E+14
0.25,3.43E+13,1.11E+14
0.25,3.43E+13,1.08E+14
0.25,3.44E+13,1.05E+14
0.25,3.44E+13,1.02E+14
0.25,3.45E+13,9.91E+13
0.25,3.45E+13,9.64E+13
0.25,3.46E+13,9.38E+13
0.25,3.46E+13,9.13E+13
0.25,3.47E+13,8.89E+13
0.25,3.47E+13,8.65E+13
0.25,3.47E+13,8.42E+13
0.25,3.48E+13,8.19E+13
0.25,3.48E+13,7.97E+13
0.25,3.49E+13,7.76E+13
0.25,3.49E+13,7.55E+13
0.25,3.49E+13,7.35E+13
0.25,3.50E+13,7.16E+13
0.25,3.50E+13,6.97E+13
0.25,3.50E+13,6.78E+13
0.25,3.51E+13,6.60E+13
0.25,3.51E+13,6.43E+13
0.25,3.51E+13,6.26E+13
0.25,3.52E+13,6.09E+13
0.25,3.52E+13,5.93E+13
0.25,3.52E+13,5.78E+13
0.25,3.53E+13,5.63E+13
0.25,3.53E+13,5.48E+13
0.25,3.53E+13,5.34E+13
0.25,3.53E+13,5.20E+13
0.25,3.54E+13,5.06E+13
0.25,3.54E+13,4.93E+13
0.25,3.54E+13,4.80E+13
0.25,3.54E+13,4.68E+13
0.25,3.55E+13,4.55E+13
0.25,3.55E+13,4.44E+13
0.25,3.55E+13,4.32E+13
0.25,3.55E+13,4.21E+13
0.25,3.56E+13,4.10E+13
0.25,3.56E+13,3.99E+13
0.25,3.56E+13,3.89E+13
0.25,3.56E+13,3.79E+13
0.25,3.56E+13,3.69E+13
0.25,3.56E+13,3.60E+13
0.25,3.57E+13,3.51E+13
0.25,3.57E+13,3.42E+13
0.25,3.57E+13,3.33E+13
0.25,3.57E+13,3.25E+13
0.25,3.57E+13,3.16E+13
0.25,3.57E+13,3.08E+13
0.25,3.58E+13,3.01E+13
0.25,3.58E+13,2.93E+13
0.25,3.58E+13,2.85E+13
0.25,3.58E+13,2.78E+13
0.25,3.58E+13,2.71E+13
0.25,3.58E+13,2.64E+13
0.25,3.58E+13,2.58E+13
0.25,3.59E+13,2.51E+13
0.25,3.59E+13,2.45E+13
0.25,3.59E+13,2.39E+13
0.25,3.59E+13,2.33E+13
0.25,3.59E+13,2.27E+13
0.25,3.59E+13,2.22E+13
0.25,3.59E+13,2.16E+13
0.25,3.59E+13,2.11E+13
0.25,3.60E+13,2.06E+13
0.25,3.60E+13,2.00E+13
0.25,3.60E+13,1.96E+13
0.25,3.60E+13,1.91E+13
0.25,3.60E+13,1.86E+13
0.25,3.60E+13,1.81E+13
0.25,3.60E+13,1.77E+13
0.25,3.60E+13,1.73E+13
0.25,3.60E+13,1.69E+13
0.25,3.60E+13,1.64E+13
0.25,3.60E+13,1.60E+13
0.25,3.61E+13,1.57E+13
0.25,3.61E+13,1.53E+13
0.25,3.61E+13,1.49E+13
0.25,3.61E+13,1.46E+13
0.25,3.61E+13,1.42E+13
0.25,3.61E+13,1.39E+13
0.25,3.61E+13,1.35E+13
0.25,3.61E+13,1.32E+13
0.25,3.61E+13,1.29E+13
0.25,3.61E+13,1.26E+13
0.25,3.61E+13,1.23E+13
0.25,3.61E+13,1.20E+13
0.25,3.61E+13,1.17E+13
0.25,3.61E+13,1.15E+13
0.25,3.61E+13,1.12E+13
0.25,3.61E+13,1.09E+13
0.25,3.62E+13,1.07E+13
0.25,3.62E+13,1.04E+13
0.25,3.62E+13,1.02E+13
0.25,3.62E+13,9.95E+12
0.25,3.62E+13,9.72E+12
0.25,3.62E+13,9.50E+12
0.25,3.62E+13,9.28E+12
0.25,3.62E+13,9.07E+12
0.25,3.62E+13,8.86E+12
0.25,3.62E+13,8.66E+12
0.25,3.62E+13,8.47E+12
0.25,3.62E+13,8.28E+12
0.25,3.62E+13,8.09E+12
0.25,3.62E+13,7.91E+12
0.25,3.62E+13,7.73E+12
0.25,3.62E+13,7.56E+12
0.25,3.62E+13,7.40E+12
0.25,3.62E+13,7.23E+12
0.25,3.62E+13,7.07E+12
0.25,3.62E+13,6.92E+12
0.25,3.62E+13,6.77E+12
0.25,3.62E+13,6.62E+12
0.25,3.62E+13,6.48E+12
0.25,3.63E+13,6.34E+12
0.25,3.63E+13,6.20E+12
0.25,3.63E+13,6.07E+12
0.25,3.63E+13,5.94E+12
0.25,3.63E+13,5.81E+12
0.25,3.63E+13,5.69E+12
0.25,3.63E+13,5.57E+12
0.25,3.63E+13,5.45E+12
0.25,3.63E+13,5.34E+12
0.25,3.63E+13,5.22E+12
0.25,3.63E+13,5.12E+12
0.25,3.63E+13,5.01E+12
0.25,3.63E+13,4.91E+12
0.25,3.63E+13,4.81E+12
0.25,3.63E+13,4.71E+12
0.25,3.63E+13,4.61E+12
0.25,3.63E+13,4.52E+12
0.25,3.63E+13,4.43E+12
0.25,3.63E+13,4.34E+12
0.25,3.63E+13,4.25E+12
0.25,3.63E+13,4.17E+12
0.25,3.63E+13,4.08E+12
0.25,3.63E+13,4.00E+12
0.25,3.63E+13,3.93E+12
0.25,3.63E+13,3.85E+12
0.25,3.63E+13,3.77E+12
0.25,3.63E+13,3.70E+12
0.25,3.63E+13,3.63E+12
0.25,3.63E+13,3.56E+12
0.25,3.63E+13,3.49E+12
0.25,3.63E+13,3.43E+12
0.25,3.63E+13,3.36E+12
0.25,3.63E+13,3.30E+12
0.25,3.63E+13,3.24E+12
0.25,3.63E+13,3.18E+12
0.25,3.63E+13,3.12E+12
0.25,3.63E+13,3.06E+12
0.25,3.63E+13,3.00E+12
0.25,3.63E+13,2.95E+12
0.25,3.63E+13,2.90E+12
0.25,3.63E+13,2.84E+12
0.25,3.63E+13,2.79E+12
0.25,3.63E+13,2.74E+12
0.25,3.63E+13,2.70E+12
0.25,3.63E+13,2.65E+12
0.25,3.63E+13,2.60E+12
0.25,3.63E+13,2.56E+12
0.25,3.63E+13,2.51E+12
0.25,3.63E+13,2.47E+12
0.25,3.63E+13,2.43E+12
0.25,3.63E+13,2.39E+12
0.25,3.64E+13,2.35E+12
0.25,3.64E+13,2.31E+12
0.25,3.64E+13,2.27E+12
0.25,3.64E+13,2.23E+12
0.25,3.64E+13,2.19E+12
0.25,3.64E+13,2.16E+12
0.25,3.64E+13,2.12E+12
0.25,3.64E+13,2.09E+12
0.25,3.64E+13,2.06E+12
0.25,3.64E+13,2.02E+12
0.25,3.64E+13,1.99E+12
0.25,3.64E+13,1.96E+12
0.25,3.64E+13,1.93E+12
0.25,3.64E+13,1.90E+12
0.25,3.64E+13,1.87E+12
0.25,3.64E+13,1.84E+12
0.25,3.64E+13,1.81E+12
0.25,3.64E+13,1.79E+12
0.25,3.64E+13,1.76E+12
0.25,3.64E+13,1.73E+12
0.25,3.64E+13,1.71E+12
0.25,3.64E+13,1.68E+12
0.25,3.64E+13,1.66E+12
0.25,3.64E+13,1.64E+12
0.25,3.64E+13,1.61E+12
0.25,3.64E+13,1.59E+12
0.25,3.64E+13,1.57E+12
0.25,3.64E+13,1.55E+12
0.25,3.64E+13,1.52E+12
0.25,3.64E+13,1.50E+12
0.25,3.64E+13,1.48E+12
0.25,3.64E+13,1.46E+12
0.25,3.64E+13,1.44E+12
0.25,3.64E+13,1.42E+12
0.25,3.64E+13,1.40E+12
0.25,3.64E+13,1.39E+12
0.25,3.64E+13,1.37E+12
0.25,3.64E+13,1.35E+12
0.25,3.64E+13,1.33E+12
0.25,3.64E+13,1.32E+12
0.25,3.64E+13,1.30E+12
0.25,3.64E+13,1.28E+12
0.25,3.64E+13,1.27E+12
0.25,3.64E+13,1.25E+12
0.25,3.64E+13,1.24E+12
0.25,3.64E+13,1.22E+12
0.25,3.64E+13,1.21E+12
0.25,3.64E+13,1.19E+12
0.25,3.64E+13,1.18E+12
0.25,3.64E+13,1.16E+12
0.25,3.64E+13,1.15E+12
0.25,3.64E+13,1.14E+12
0.25,3.64E+13,1.12E+12
0.25,3.64E+13,1.11E+12
0.25,3.64E+13,1.10E+12
0.25,3.64E+13,1.08E+12
0.25,3.64E+13,1.07E+12
0.25,3.64E+13,1.06E+12
0.25,3.64E+13,1.05E+12
0.25,3.64E+13,1.04E+12
0.25,3.64E+13,1.03E+12
0.25,3.64E+13,1.02E+12
0.25,3.64E+13,1.00E+12
0.25,3.64E+13,9.94E+11
0.25,3.64E+13,9.83E+11
0.25,3.64E+13,9.73E+11
0.25,3.64E+13,9.63E+11
0.25,3.64E+13,9.53E+11
0.25,3.64E+13,9.44E+11
0.25,3.64E+13,9.34E+11
0.25,3.64E+13,9.25E+11
0.25,3.64E+13,9.15E+11
0.25,3.64E+13,9.06E+11
0.25,3.64E+13,8.98E+11
0.25,3.64E+13,8.89E+11
0.25,3.64E+13,8.80E+11
0.25,3.64E+13,8.72E+11
0.25,3.64E+13,8.64E+11
0.25,3.64E+13,8.56E+11
0.25,3.64E+13,8.48E+11
0.25,3.64E+13,8.40E+11
0.25,3.64E+13,8.32E+11
0.25,3.64E+13,8.25E+11
0.25,3.64E+13,8.17E+11
0.25,3.64E+13,8.10E+11
0.25,3.64E+13,8.03E+11
0.25,3.64E+13,7.96E+11
0.25,3.64E+13,7.89E+11
0.25,3.64E+13,7.82E+11
0.25,3.64E+13,7.75E+11
0.25,3.64E+13,7.68E+11
0.25,3.64E+13,7.62E+11
0.25,3.64E+13,7.55E+11
0.25,3.64E+13,7.49E+11
0.25,3.64E+13,7.43E+11
0.25,3.64E+13,7.37E+11
0.25,3.64E+13,7.31E+11
0.25,3.64E+13,7.25E+11
0.25,3.64E+13,7.19E+11
0.25,3.64E+13,7.13E+11
0.25,3.64E+13,7.08E+11
0.25,3.64E+13,7.02E+11
0.25,3.64E+13,6.97E+11
0.25,3.64E+13,6.91E+11
0.25,3.64E+13,6.86E+11
0.25,3.64E+13,6.81E+11
0.25,3.64E+13,6.75E+11
0.25,3.64E+13,6.70E+11
0.25,3.64E+13,6.65E+11
0.25,3.64E+13,6.60E+11
0.25,3.64E+13,6.56E+11
0.25,3.64E+13,6.51E+11
0.25,3.64E+13,6.46E+11
0.25,3.64E+13,6.41E+11
0.25,3.64E+13,6.37E+11
0.25,3.64E+13,6.32E+11
0.25,3.64E+13,6.28E+11
0.25,3.64E+13,6.23E+11
0.25,3.64E+13,6.19E+11
0.25,3.64E+13,6.15E+11
0.25,3.64E+13,6.11E+11
0.25,3.64E+13,6.06E+11
0.25,3.64E+13,6.02E+11
0.25,3.64E+13,5.98E+11
0.25,3.64E+13,5.94E+11
0.25,3.64E+13,5.90E+11
0.25,3.64E+13,5.86E+11
0.25,3.64E+13,5.83E+11
0.25,3.64E+13,5.79E+11
0.25,3.64E+13,5.75E+11
0.25,3.64E+13,5.71E+11
0.25,3.64E+13,5.68E+11
0.25,3.64E+13,5.64E+11
0.25,3.64E+13,5.60E+11
0.25,3.64E+13,5.57E+11
0.25,3.64E+13,5.53E+11
0.25,3.64E+13,5.50E+11
0.25,3.64E+13,5.47E+11
0.25,3.64E+13,5.43E+11
0.25,3.64E+13,5.40E+11
0.25,3.64E+13,5.37E+11
0.25,3.64E+13,5.34E+11
0.25,3.64E+13,5.30E+11
0.25,3.64E+13,5.27E+11
0.25,3.64E+13,5.24E+11
0.25,3.64E+13,5.21E+11
0.25,3.64E+13,5.18E+11
0.25,3.64E+13,5.15E+11
0.25,3.64E+13,5.12E+11
0.25,3.64E+13,5.09E+11
0.25,3.64E+13,5.06E+11
0.25,3.64E+13,5.03E+11
0.25,3.64E+13,5.00E+11
0.25,3.64E+13,4.98E+11
0.25,3.64E+13,4.95E+11
0.25,3.64E+13,4.92E+11
0.25,3.64E+13,4.89E+11
0.25,3.64E+13,4.87E+11
0.25,3.64E+13,4.84E+11
0.25,3.64E+13,4.81E+11
0.25,3.64E+13,4.79E+11
0.25,3.64E+13,4.76E+11
0.25,3.64E+13,4.74E+11
0.25,3.64E+13,4.71E+11
0.25,3.64E+13,4.69E+11
0.25,3.64E+13,4.66E+11
0.25,3.64E+13,4.64E+11
0.25,3.64E+13,4.61E+11
0.25,3.64E+13,4.59E+11
0.25,3.64E+13,4.57E+11
0.25,3.64E+13,4.54E+11
0.25,3.64E+13,4.52E+11
0.25,3.64E+13,4.50E+11
0.25,3.64E+13,4.47E+11
0.25,3.64E+13,4.45E+11
0.25,3.64E+13,4.43E+11
0.25,3.64E+13,4.41E+11
0.25,3.64E+13,4.39E+11
0.25,3.64E+13,4.36E+11
0.25,3.64E+13,4.34E+11
0.25,3.64E+13,4.32E+11
0.25,3.64E+13,4.30E+11
0.25,3.64E+13,4.28E+11
0.25,3.64E+13,4.26E+11
0.25,3.64E+13,4.24E+11
0.25,3.64E+13,4.22E+11
0.25,3.64E+13,4.20E+11
0.25,3.64E+13,4.18E+11
0.25,3.64E+13,4.16E+11
0.25,3.64E+13,4.14E+11
0.25,3.64E+13,4.12E+11
0.25,3.64E+13,4.10E+11
0.25,3.64E+13,4.08E+11
0.25,3.64E+13,4.06E+11
0.25,3.64E+13,4.04E+11
0.25,3.64E+13,4.03E+11
0.25,3.64E+13,4.01E+11
0.25,3.64E+13,3.99E+11
0.25,3.64E+13,3.97E+11
0.25,3.64E+13,3.95E+11
0.25,3.64E+13,3.94E+11
0.25,3.64E+13,3.92E+11
0.25,3.64E+13,3.90E+11
0.25,3.64E+13,3.88E+11
0.25,3.64E+13,3.87E+11
0.25,3.64E+13,3.85E+11
0.25,3.64E+13,3.83E+11
0.25,3.64E+13,3.82E+11
0.25,3.64E+13,3.80E+11
0.25,3.64E+13,3.78E+11
0.25,3.64E+13,3.77E+11
0.25,3.64E+13,3.75E+11
0.25,3.64E+13,3.73E+11
0.25,3.64E+13,3.72E+11
0.25,3.64E+13,3.70E+11
0.25,3.64E+13,3.69E+11
0.25,3.64E+13,3.67E+11
0.25,3.64E+13,3.66E+11
0.25,3.64E+13,3.64E+11
0.25,3.64E+13,3.63E+11
0.25,3.64E+13,3.61E+11
0.25,3.64E+13,3.60E+11
0.25,3.64E+13,3.58E+11
0.25,3.64E+13,3.57E+11
0.25,3.64E+13,3.55E+11
0.25,3.64E+13,3.54E+11
0.25,3.64E+13,3.52E+11
0.25,3.64E+13,3.51E+11
0.25,3.64E+13,3.49E+11
0.25,3.64E+13,3.48E+11
0.25,3.64E+13,3.47E+11
0.25,3.64E+13,3.45E+11
0.25,3.64E+13,3.44E+11
0.25,3.64E+13,3.43E+11
0.25,3.64E+13,3.41E+11
0.25,3.64E+13,3.40E+11
0.25,3.64E+13,3.39E+11
0.25,3.64E+13,3.37E+11
0.25,3.64E+13,3.36E+11
0.25,3.64E+13,3.35E+11
0.25,3.64E+13,3.33E+11
0.25,3.64E+13,3.32E+11
0.25,3.64E+13,3.31E+11
0.25,3.64E+13,3.29E+11
0.25,3.64E+13,3.28E+11
0.25,3.64E+13,3.27E+11
0.25,3.64E+13,3.26E+11
0.25,3.64E+13,3.24E+11
0.25,3.64E+13,3.23E+11
0.25,3.64E+13,3.22E+11
0.25,3.64E+13,3.21E+11
0.25,3.64E+13,3.20E+11
0.25,3.64E+13,3.18E+11
0.25,3.64E+13,3.17E+11
0.25,3.64E+13,3.16E+11
0.25,3.64E+13,3.15E+11
0.25,3.64E+13,3.14E+11
0.25,3.64E+13,3.13E+11
0.25,3.64E+13,3.11E+11
0.25,3.65E+13,3.10E+11
0.25,3.65E+13,3.09E+11
0.25,3.65E+13,3.08E+11
0.25,3.65E+13,3.07E+11
0.25,3.65E+13,3.06E+11
0.25,3.65E+13,3.05E+11
0.25,3.65E+13,3.04E+11
0.25,3.65E+13,3.03E+11
0.25,3.65E+13,3.01E+11
0.25,3.65E+13,3.00E+11
0.25,3.65E+13,2.99E+11
0.25,3.65E+13,2.98E+11
0.25,3.65E+13,2.97E+11
0.25,3.65E+13,2.96E+11
0.25,3.65E+13,2.95E+11
0.25,3.65E+13,2.94E+11
0.25,3.65E+13,2.93E+11
0.25,3.65E+13,2.92E+11
0.25,3.65E+13,2.91E+11
0.25,3.65E+13,2.90E+11
0.25,3.65E+13,2.89E+11
0.25,3.65E+13,2.88E+11
0.25,3.65E+13,2.87E+11
0.25,3.65E+13,2.86E+11
0.25,3.65E+13,2.85E+11
0.25,3.65E+13,2.84E+11
0.25,3.65E+13,2.83E+11
0.25,3.65E+13,2.82E+11
0.25,3.65E+13,2.81E+11
0.25,3.65E+13,2.80E+11
0.25,3.65E+13,2.79E+11
0.25,3.65E+13,2.78E+11
0.25,3.65E+13,2.77E+11
0.25,3.65E+13,2.77E+11
0.25,3.65E+13,2.76E+11
0.25,3.65E+13,2.75E+11
0.25,3.65E+13,2.74E+11
0.25,3.65E+13,2.73E+11
0.25,3.65E+13,2.72E+11
0.25,3.65E+13,2.71E+11
0.25,3.65E+13,2.70E+11
0.25,3.65E+13,2.69E+11
0.25,3.65E+13,2.68E+11
0.25,3.65E+13,2.68E+11
0.25,3.65E+13,2.67E+11
0.25,3.65E+13,2.66E+11
0.25,3.65E+13,2.65E+11
0.25,3.65E+13,2.64E+11
0.25,3.65E+13,2.63E+11
0.25,3.65E+13,2.62E+11
0.25,3.65E+13,2.62E+11
0.25,3.65E+13,2.61E+11
0.25,3.65E+13,2.60E+11
0.25,3.65E+13,2.59E+11
0.25,3.65E+13,2.58E+11
0.25,3.65E+13,2.57E+11
0.25,3.65E+13,2.57E+11
0.25,3.65E+13,2.56E+11
0.25,3.65E+13,2.55E+11
0.25,3.65E+13,2.54E+11
0.25,3.65E+13,2.53E+11
0.25,3.65E+13,2.53E+11
0.25,3.65E+13,2.52E+11
0.25,3.65E+13,2.51E+11
0.25,3.65E+13,2.50E+11
0.25,3.65E+13,2.49E+11
0.25,3.65E+13,2.49E+11
0.25,3.65E+13,2.48E+11
0.25,3.65E+13,2.47E+11
0.25,3.65E+13,2.46E+11
0.25,3.65E+13,2.46E+11
0.25,3.65E+13,2.45E+11
0.25,3.65E+13,2.44E+11
0.25,3.65E+13,2.43E+11
0.25,3.65E+13,2.43E+11
0.25,3.65E+13,2.42E+11
0.25,3.65E+13,2.41E+11
0.25,3.65E+13,2.40E+11
0.25,3.65E+13,2.40E+11
0.25,3.65E+13,2.39E+11
0.25,3.65E+13,2.38E+11
0.25,3.65E+13,2.38E+11
0.25,3.65E+13,2.37E+11
0.25,3.65E+13,2.36E+11
0.25,3.65E+13,2.36E+11
0.25,3.65E+13,2.35E+11
0.25,3.65E+13,2.34E+11
0.25,3.65E+13,2.33E+11
0.25,3.65E+13,2.33E+11
0.25,3.65E+13,2.32E+11
0.25,3.65E+13,2.31E+11
0.25,3.65E+13,2.31E+11
0.25,3.65E+13,2.30E+11
0.25,3.65E+13,2.29E+11
0.25,3.65E+13,2.29E+11
0.25,3.65E+13,2.28E+11
0.25,3.65E+13,2.27E+11
0.25,3.65E+13,2.27E+11
0.25,3.65E+13,2.26E+11
0.25,3.65E+13,2.25E+11
0.25,3.65E+13,2.25E+11
0.25,3.65E+13,2.24E+11
0.25,3.65E+13,2.23E+11
0.25,3.65E+13,2.23E+11
0.25,3.65E+13,2.22E+11
0.25,3.65E+13,2.22E+11
0.25,3.65E+13,2.21E+11
0.25,3.65E+13,2.20E+11
0.25,3.65E+13,2.20E+11
0.25,3.65E+13,2.19E+11
0.25,3.65E+13,2.18E+11
0.25,3.65E+13,2.18E+11
0.25,3.65E+13,2.17E+11
0.25,3.65E+13,2.17E+11
0.25,3.65E+13,2.16E+11
0.25,3.65E+13,2.15E+11
0.25,3.65E+13,2.15E+11
0.25,3.65E+13,2.14E+11
0.25,3.65E+13,2.14E+11
0.25,3.65E+13,2.13E+11
0.25,3.65E+13,2.12E+11
0.25,3.65E+13,2.12E+11
0.25,3.65E+13,2.11E+11
0.25,3.65E+13,2.11E+11
0.25,3.65E+13,2.10E+11
0.25,3.65E+13,2.10E+11
0.25,3.65E+13,2.09E+11
0.25,3.65E+13,2.08E+11
0.25,3.65E+13,2.08E+11
0.25,3.65E+13,2.07E+11
0.25,3.65E+13,2.07E+11
0.25,3.65E+13,2.06E+11
0.25,3.65E+13,2.06E+11
0.25,3.65E+13,2.05E+11
0.25,3.65E+13,2.04E+11
0.25,3.65E+13,2.04E+11
0.25,3.65E+13,2.03E+11
0.25,3.65E+13,2.03E+11
0.25,3.65E+13,2.02E+11
0.25,3.65E+13,2.02E+11
0.25,3.65E+13,2.01E+11
0.25,3.65E+13,2.01E+11
0.25,3.65E+13,2.00E+11
0.25,3.65E+13,2.00E+11
0.25,3.65E+13,1.99E+11
0.25,3.65E+13,1.99E+11
0.25,3.65E+13,1.98E+11
0.25,3.65E+13,1.98E+11
0.25,3.65E+13,1.97E+11
0.25,3.65E+13,1.97E+11
0.25,3.65E+13,1.96E+11
0.25,3.65E+13,1.95E+11
0.25,3.65E+13,1.95E+11
0.25,3.65E+13,1.94E+11
0.25,3.65E+13,1.94E+11
0.25,3.65E+13,1.93E+11
0.25,3.65E+13,1.93E+11
0.25,3.65E+13,1.92E+11
0.25,3.65E+13,1.92E+11
0.25,3.65E+13,1.91E+11
0.25,3.65E+13,1.91E+11
0.25,3.65E+13,1.91E+11
0.25,3.65E+13,1.90E+11
0.25,3.65E+13,1.90E+11
0.25,3.65E+13,1.89E+11
0.25,3.65E+13,1.89E+11
0.25,3.65E+13,1.88E+11
0.25,3.65E+13,1.88E+11
0.25,3.65E+13,1.87E+11
0.25,3.65E+13,1.87E+11
0.25,3.65E+13,1.86E+11
0.25,3.65E+13,1.86E+11
0.25,3.65E+13,1.85E+11
0.25,3.65E+13,1.85E+11
0.25,3.65E+13,1.84E+11
0.25,3.65E+13,1.84E+11
0.25,3.65E+13,1.83E+11
0.25,3.65E+13,1.83E+11
0.25,3.65E+13,1.83E+11
0.25,3.65E+13,1.82E+11
0.25,3.65E+13,1.82E+11
0.25,3.65E+13,1.81E+11
0.25,3.65E+13,1.81E+11
0.25,3.65E+13,1.80E+11
0.25,3.65E+13,1.80E+11
0.25,3.65E+13,1.79E+11
0.25,3.65E+13,1.79E+11
0.25,3.65E+13,1.79E+11
0.25,3.65E+13,1.78E+11
0.25,3.65E+13,1.78E+11
0.25,3.65E+13,1.77E+11
0.25,3.65E+13,1.77E+11
0.25,3.65E+13,1.76E+11
0.25,3.65E+13,1.76E+11
0.25,3.65E+13,1.76E+11
0.25,3.65E+13,1.75E+11
0.25,3.65E+13,1.75E+11
0.25,3.65E+13,1.74E+11
0.25,3.65E+13,1.74E+11
0.25,3.65E+13,1.73E+11
0.25,3.65E+13,1.73E+11
0.25,3.65E+13,1.73E+11
0.25,3.65E+13,1.72E+11
0.25,3.65E+13,1.72E+11
0.25,3.65E+13,1.71E+11
0.25,3.65E+13,1.71E+11
0.25,3.65E+13,1.71E+11
0.25,3.65E+13,1.70E+11
0.25,3.65E+13,1.70E+11
0.25,3.65E+13,1.69E+11
0.25,3.65E+13,1.69E+11
0.25,3.65E+13,1.69E+11
0.25,3.65E+13,1.68E+11
0.25,3.65E+13,1.68E+11
0.25,3.65E+13,1.67E+11
0.25,3.65E+13,1.67E+11
0.25,3.65E+13,1.67E+11
0.25,3.65E+13,1.66E+11
0.25,3.65E+13,1.66E+11
0.25,3.65E+13,1.65E+11
0.25,3.65E+13,1.65E+11
0.25,3.65E+13,1.65E+11
0.25,3.65E+13,1.64E+11
0.25,3.65E+13,1.64E+11
0.25,3.65E+13,1.64E+11
0.25,3.65E+13,1.63E+11
0.25,3.65E+13,1.63E+11
0.25,3.65E+13,1.62E+11
0.25,3.65E+13,1.62E+11
0.25,3.65E+13,1.62E+11
0.25,3.65E+13,1.61E+11
0.25,3.65E+13,1.61E+11
0.25,3.65E+13,1.61E+11
0.25,3.65E+13,1.60E+11
0.25,3.65E+13,1.60E+11
0.25,3.65E+13,1.59E+11
0.25,3.65E+13,1.59E+11
0.25,3.65E+13,1.59E+11
0.25,3.65E+13,1.58E+11
0.25,3.65E+13,1.58E+11
0.25,3.65E+13,1.58E+11
0.25,3.65E+13,1.57E+11
0.25,3.65E+13,1.57E+11
0.25,3.65E+13,1.57E+11
0.25,3.65E+13,1.56E+11
0.25,3.65E+13,1.56E+11
0.25,3.65E+13,1.56E+11
0.25,3.65E+13,1.55E+11
0.25,3.65E+13,1.55E+11
0.25,3.65E+13,1.55E+11
0.25,3.65E+13,1.54E+11
0.25,3.65E+13,1.54E+11
0.25,3.65E+13,1.54E+11
0.25,3.65E+13,1.53E+11
